detector,scope_type,scope_id,transition,definition,delta_tp,delta_tn,delta_fp,delta_fn,delta_macro_f1,delta_occupied_precision,delta_occupied_recall,delta_occupied_f1,delta_vacant_precision,delta_vacant_recall,delta_vacant_f1,delta_accuracy,delta_balanced_accuracy,delta_false_free_rate,delta_false_occupied_rate,delta_occupied_count_mae,delta_occupied_count_rmse,delta_occupied_count_mean_signed_error
D1,slot,slot_16,R1_to_R2,signed_absolute_change_target_minus_source,15.0,-17.0,17.0,-15.0,0.012335070660582148,-0.19318181818181823,0.1648351648351648,0.03139132748071294,0.03993055555555558,-0.05964912280701751,-0.006721186159548753,-0.005319148936170248,0.052593021014073704,-0.16483516483516486,0.05964912280701754,0.0053191489361702204,0.008596006342271145,0.0851063829787234
D1,slot,slot_17,R0_to_R1,signed_absolute_change_target_minus_source,8.0,0.0,0.0,-8.0,0.2275927583498804,0.8,0.3076923076923077,0.4444444444444444,0.020338388708687538,0.0,0.010741072255316397,0.021276595744680882,0.1538461538461539,-0.3076923076923077,0.0,-0.021276595744680847,-0.04225560944768639,0.021276595744680847
D1,slot,slot_17,R1_to_R2,signed_absolute_change_target_minus_source,0.0,-6.0,6.0,0.0,-0.03608941045403391,-0.30000000000000004,0.0,-0.06349206349206343,-0.0008196721311475308,-0.017142857142857237,-0.008686757416004443,-0.015957446808510634,-0.008571428571428674,0.0,0.017142857142857144,0.01595744680851064,0.03232905106316755,0.015957446808510637
D1,slot,slot_18,R0_to_R1,signed_absolute_change_target_minus_source,1.0,0.0,0.0,-1.0,0.02923575649301463,1.0,0.029411764705882353,0.05714285714285715,0.002425531914893697,0.0,0.0013286558431720996,0.0026595744680851796,0.014705882352941124,-0.02941176470588236,0.0,-0.0026595744680851102,-0.004455185307622345,0.0026595744680851102
D1,slot,slot_18,R1_to_R2,signed_absolute_change_target_minus_source,-1.0,-3.0,3.0,1.0,-0.03143300214429928,-1.0,-0.029411764705882353,-0.05714285714285715,-0.0031528150134048083,-0.00877192982456143,-0.005723147145741403,-0.010638297872340496,-0.01909184726522184,0.02941176470588236,0.008771929824561403,0.010638297872340427,0.017441327279625773,0.0053191489361702204
D1,slot,slot_19,R0_to_R1,signed_absolute_change_target_minus_source,0.0,-4.0,4.0,0.0,-0.004244786596197037,-0.0888888888888889,0.0,-0.0022246941045606233,-0.0015276482296172622,-0.01238390092879249,-0.006264879087833464,-0.010638297872340385,-0.006191950464396301,0.0,0.01238390092879257,0.010638297872340441,0.013545238474500731,0.010638297872340413
D1,slot,slot_19,R1_to_R2,signed_absolute_change_target_minus_source,1.0,-58.0,58.0,-1.0,-0.04883182992080409,-0.08169934640522875,0.018867924528301886,0.000799786723540391,-0.023895042287412904,-0.17956656346749233,-0.0984634465651486,-0.15159574468085113,-0.08034931946959523,-0.018867924528301883,0.17956656346749225,0.15159574468085107,0.15835859752987697,0.15691489361702127
D1,slot,slot_20,R0_to_R1,signed_absolute_change_target_minus_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1,slot,slot_20,R1_to_R2,signed_absolute_change_target_minus_source,0.0,-77.0,77.0,0.0,-0.06659030585724207,0.0,0.0,0.0,-0.016142557651991574,-0.21568627450980393,-0.13318061171448414,-0.20478723404255317,-0.10784313725490197,0.0,0.21568627450980393,0.20478723404255322,0.21255757820956733,0.20478723404255317
D1-LL,overall,all,R0_to_R1,signed_absolute_change_target_minus_source,124.0,-35.0,35.0,-124.0,0.06981091752540303,0.1003178508213885,0.15538847117794485,0.13416218468297852,0.01545132215459255,-0.004930966469428033,0.005459650367827584,0.01127152988855118,0.07522875235425841,-0.15538847117794485,0.004930966469428005,-0.1622340425531914,-0.2850742576007239,0.4228723404255319
