detector,method_id,component,pipeline,prediction_field,scope_type,scope_id,samples,frames,truth_occupied,truth_vacant,tp,tn,fp,fn,macro_f1,occupied_precision,occupied_recall,occupied_f1,vacant_precision,vacant_recall,vacant_f1,accuracy,balanced_accuracy,false_free_rate,false_occupied_rate,occupied_count_mae,occupied_count_rmse,occupied_count_mean_signed_error
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro19,42,2,4,38,1,38,0,3,0.6810126582278482,1.0,0.25,0.4,0.926829268292683,1.0,0.9620253164556963,0.9285714285714286,0.625,0.75,0.0,1.5,1.5811388300841898,-1.5
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro23,945,45,150,795,72,710,85,78,0.6830431642389312,0.4585987261146497,0.48,0.46905537459283386,0.9010152284263959,0.8930817610062893,0.8970309538850284,0.8275132275132275,0.6865408805031447,0.52,0.1069182389937107,1.5777777777777777,1.879716290649558,0.15555555555555556
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro24,630,30,101,529,61,439,90,40,0.6775793650793651,0.40397350993377484,0.6039603960396039,0.48412698412698413,0.9164926931106472,0.8298676748582231,0.871031746031746,0.7936507936507936,0.7169140354489135,0.39603960396039606,0.17013232514177692,1.6666666666666667,1.879716290649558,1.6666666666666667
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro25,63,3,19,44,1,37,7,18,0.4107744107744108,0.125,0.05263157894736842,0.07407407407407407,0.6727272727272727,0.8409090909090909,0.7474747474747475,0.6031746031746031,0.4467703349282297,0.9473684210526315,0.1590909090909091,3.6666666666666665,3.7859388972001824,-3.6666666666666665
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro26,588,28,40,548,18,533,15,22,0.7298029036624896,0.5454545454545454,0.45,0.4931506849315069,0.9603603603603603,0.9726277372262774,0.9664551223934723,0.9370748299319728,0.7113138686131387,0.55,0.02737226277372263,0.6071428571428571,0.944911182523068,-0.25
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro30,42,2,2,40,0,40,0,2,0.4878048780487805,0.0,0.0,0.0,0.9523809523809523,1.0,0.975609756097561,0.9523809523809523,0.5,1.0,0.0,1.0,1.4142135623730951,-1.0
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro33,336,16,32,304,0,296,8,32,0.4683544303797469,0.0,0.0,0.0,0.9024390243902439,0.9736842105263158,0.9367088607594938,0.8809523809523809,0.4868421052631579,1.0,0.02631578947368421,1.5,1.6583123951777,-1.5
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro34,546,26,44,502,14,453,49,30,0.5907395986526875,0.2222222222222222,0.3181818181818182,0.2616822429906542,0.937888198757764,0.9023904382470119,0.9197969543147209,0.8553113553113553,0.6102861282144151,0.6818181818181818,0.09760956175298804,1.3461538461538463,1.7431183374807169,0.7307692307692307
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro36,42,2,3,39,2,36,3,1,0.7236842105263157,0.4,0.6666666666666666,0.5,0.972972972972973,0.9230769230769231,0.9473684210526315,0.9047619047619048,0.7948717948717949,0.3333333333333333,0.07692307692307693,1.0,1.4142135623730951,1.0
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro4,609,29,32,577,16,527,50,16,0.6338010204081632,0.24242424242424243,0.5,0.326530612244898,0.9705340699815838,0.9133448873483535,0.9410714285714286,0.8916256157635468,0.7066724436741767,0.5,0.08665511265164645,1.2413793103448276,1.5974116995724785,1.1724137931034482
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro46,630,30,38,592,4,555,37,34,0.5205736395888487,0.0975609756097561,0.10526315789473684,0.10126582278481013,0.9422750424448217,0.9375,0.9398814563928873,0.8873015873015873,0.5213815789473684,0.8947368421052632,0.0625,0.5,0.7071067811865476,0.1
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro5,693,33,61,632,33,615,17,28,0.7796502384737678,0.66,0.5409836065573771,0.5945945945945946,0.9564541213063764,0.9731012658227848,0.9647058823529411,0.935064935064935,0.7570424361900809,0.45901639344262296,0.02689873417721519,1.0,1.381698559415515,-0.3333333333333333
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro8,420,20,48,372,33,365,7,15,0.8603723404255319,0.825,0.6875,0.75,0.9605263157894737,0.9811827956989247,0.9707446808510638,0.9476190476190476,0.8343413978494624,0.3125,0.01881720430107527,0.6,0.8366600265340756,-0.4
D1,QV2-0,R2,B1 + F2 + E4,state,sequence,gopro9,693,33,61,632,20,527,105,41,0.5466935483870968,0.16,0.32786885245901637,0.21505376344086025,0.9278169014084507,0.8338607594936709,0.8783333333333334,0.7893217893217893,0.5808648059763436,0.6721311475409836,0.1661392405063291,2.1818181818181817,2.6285149626910838,1.9393939393939394
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_00,376,376,4,372,3,360,12,1,0.6490270697206865,0.2,0.75,0.31578947368421056,0.997229916897507,0.967741935483871,0.9822646657571624,0.9654255319148937,0.8588709677419355,0.25,0.03225806451612903,0.034574468085106384,0.1859421094994525,0.02925531914893617
